disease,medcodeid,read,list_disease_real,descr
Alcohol_Misuse,500478011,365,Alcohol problems,Alcohol dependence syndrome
Alcohol_Misuse,12878014,365,Alcohol problems,Alcoholism
Alcohol_Misuse,502017010,365,Alcohol problems,Alcohol problem drinking
Alcohol_Misuse,295127018,365,Alcohol problems,Acute alcoholic intoxication in alcoholism
Alcohol_Misuse,295126010,365,Alcohol problems,Alcohol dependence with acute alcoholic intoxication
Alcohol_Misuse,295128011,365,Alcohol problems,"Acute alcoholic intoxication, unspecified, in alcoholism"
Alcohol_Misuse,295129015,365,Alcohol problems,Continuous acute alcoholic intoxication in alcoholism
Alcohol_Misuse,295130013,365,Alcohol problems,Episodic acute alcoholic intoxication in alcoholism
Alcohol_Misuse,295131012,365,Alcohol problems,"Acute alcoholic intoxication in remission, in alcoholism"
Alcohol_Misuse,295132017,365,Alcohol problems,Acute alcoholic intoxication in alcoholism NOS
Alcohol_Misuse,110629012,365,Alcohol problems,Chronic alcoholism
Alcohol_Misuse,502016018,365,Alcohol problems,Dipsomania
Alcohol_Misuse,295136019,365,Alcohol problems,Unspecified chronic alcoholism
Alcohol_Misuse,295139014,365,Alcohol problems,Continuous chronic alcoholism
Alcohol_Misuse,295141010,365,Alcohol problems,Episodic chronic alcoholism
Alcohol_Misuse,295142015,365,Alcohol problems,Chronic alcoholism in remission
Alcohol_Misuse,295143013,365,Alcohol problems,Chronic alcoholism NOS
Alcohol_Misuse,295144019,365,Alcohol problems,Alcohol dependence syndrome NOS
Alcohol_Misuse,295765017,365,Alcohol problems,[X]Mental and behavioural disorders due to use of alcohol
Alcohol_Misuse,397881000006114,365,Alcohol problems,[X]Mental and behav dis due to use of alcohol: harmful use
Alcohol_Misuse,397801000006117,365,Alcohol problems,[X]Mental and behav dis due to use alcohol: dependence syndr
Alcohol_Misuse,362921000006118,365,Alcohol problems,[X]Alcohol addiction
Alcohol_Misuse,370971000006114,365,Alcohol problems,[X]Chronic alcoholism
Alcohol_Misuse,377081000006114,365,Alcohol problems,[X]Dipsomania
Alcohol_Misuse,397811000006119,365,Alcohol problems,[X]Mental and behav dis due to use alcohol: withdrawal state
Alcohol_Misuse,397211000006118,365,Alcohol problems,[X]Men & behav dis due alcohl: withdrawl state with delirium
Alcohol_Misuse,376451000006113,365,Alcohol problems,"[X]Delirium tremens, alcohol induced"
Alcohol_Misuse,397621000006111,365,Alcohol problems,[X]Mental & behav dis due to use alcohol: psychotic disorder
Alcohol_Misuse,362951000006110,365,Alcohol problems,[X]Alcoholic hallucinosis
Alcohol_Misuse,362961000006112,365,Alcohol problems,[X]Alcoholic jealousy
Alcohol_Misuse,362971000006117,365,Alcohol problems,[X]Alcoholic paranoia
Alcohol_Misuse,362981000006119,365,Alcohol problems,[X]Alcoholic psychosis NOS
Alcohol_Misuse,397791000006118,365,Alcohol problems,[X]Mental and behav dis due to use alcohol: amnesic syndrome
Alcohol_Misuse,394681000006119,365,Alcohol problems,"[X]Korsakov's psychosis, alcohol induced"
Alcohol_Misuse,397201000006116,365,Alcohol problems,[X]Men & behav dis due alcoh: resid & late-onset psychot dis
Alcohol_Misuse,362941000006113,365,Alcohol problems,[X]Alcoholic dementia NOS
Alcohol_Misuse,370961000006119,365,Alcohol problems,[X]Chronic alcoholic brain syndrome
Alcohol_Misuse,315091000000117,365,Alcohol problems,[X]Alcohol withdrawal-induced seizure
Alcohol_Misuse,397241000006119,365,Alcohol problems,[X]Men & behav dis due to use alcohol: oth men & behav dis
Alcohol_Misuse,397431000006111,365,Alcohol problems,[X]Ment & behav dis due use alcohol: unsp ment & behav dis
Alcohol_Misuse,542611000006114,365,Alcohol problems,Cerebral degeneration due to alcoholism
Alcohol_Misuse,297011014,365,Alcohol problems,Alcoholic encephalopathy
Alcohol_Misuse,478046010,365,Alcohol problems,Cerebellar ataxia due to alcoholism
Alcohol_Misuse,478024019,365,Alcohol problems,Alcohol-induced epilepsy
Alcohol_Misuse,14103017,365,Alcohol problems,Alcoholic polyneuropathy
Alcohol_Misuse,476701000006114,365,Alcohol problems,Alcoholic myopathy
Alcohol_Misuse,138527014,365,Alcohol problems,Alcoholic cardiomyopathy
Alcohol_Misuse,453265010,365,Alcohol problems,Oesophageal varices in alcoholic cirrhosis of the liver
Alcohol_Misuse,4525015,365,Alcohol problems,Alcoholic gastritis
Alcohol_Misuse,83834016,365,Alcohol problems,Alcoholic fatty liver
Alcohol_Misuse,17390014,365,Alcohol problems,Acute alcoholic hepatitis
Alcohol_Misuse,476611000006116,365,Alcohol problems,Alcoholic cirrhosis of liver
Alcohol_Misuse,353594015,365,Alcohol problems,Alcoholic fibrosis and sclerosis of liver
Alcohol_Misuse,303399018,365,Other alcohol problems,Alcoholic liver damage unspecified
Alcohol_Misuse,353595019,365,Alcohol problems,Alcoholic hepatic failure
Alcohol_Misuse,353587018,365,Alcohol problems,Alcoholic hepatitis
Alcohol_Misuse,451124014,365,Alcohol problems,Chronic alcoholic hepatitis
Alcohol_Misuse,353687012,365,Alcohol problems,Alcohol-induced acute pancreatitis
Alcohol_Misuse,353698013,365,Alcohol problems,Alcohol-induced chronic pancreatitis
Alcohol_Misuse,346501000006111,365,Alcohol problems,[V]Problems related to lifestyle alcohol use
Alcohol_Misuse,460926018,365,Alcohol problems,[V]Alcohol rehabilitation
Alcohol_Misuse,461112017,365,Alcohol problems,[V]Alcohol abuse counselling and surveillance
Alcoholic_liver_disease,886501000006115,9999999,Chronic liver disease,Alcoholic liver damage NOS
Alcoholic_liver_disease,12721711000006110,9999999,Chronic liver disease,alcoholic liver damage unspecified
Alcoholic_liver_disease,6941931000006112,9999999,Chronic liver disease,laennec's cirrhosis
Alcoholic_liver_disease,453265010,9999999,Chronic liver disease,Oesophageal varices in alcoholic cirrhosis of the liver
Alcoholic_liver_disease,83834016,9999999,Chronic liver disease,Alcoholic fatty liver
Alcoholic_liver_disease,17390014,9999999,Chronic liver disease,Acute alcoholic hepatitis
Alcoholic_liver_disease,476611000006116,9999999,Chronic liver disease,Alcoholic cirrhosis of liver
Alcoholic_liver_disease,2579818016,9999999,Chronic liver disease,Laennec's cirrhosis
Alcoholic_liver_disease,353594015,9999999,Chronic liver disease,Alcoholic fibrosis and sclerosis of liver
Alcoholic_liver_disease,303399018,9999999,Chronic liver disease,Alcoholic liver damage unspecified
Alcoholic_liver_disease,353595019,9999999,Chronic liver disease,Alcoholic hepatic failure
Alcoholic_liver_disease,353587018,9999999,Chronic liver disease,Alcoholic hepatitis
Alcoholic_liver_disease,451124014,9999999,Chronic liver disease,Chronic alcoholic hepatitis
Anxiety_disorders,882381000006115,365,Anxiety,Agoraphobia
Anxiety_disorders,882381000006115,365,Depression_anxiety,Agoraphobia
Anxiety_disorders,988881000006118,365,Anxiety,Agoraphobia
Anxiety_disorders,988881000006118,365,Depression_anxiety,Agoraphobia
Anxiety_disorders,6025531000006111,365,Anxiety,Anxiety counseling
Anxiety_disorders,6025531000006111,365,Depression_anxiety,Anxiety counseling
Anxiety_disorders,6025541000006118,365,Anxiety,Counseling for anxiety
Anxiety_disorders,6025541000006118,365,Depression_anxiety,Counseling for anxiety
Anxiety_disorders,6025551000006116,365,Anxiety,Counselling for anxiety
Anxiety_disorders,6025551000006116,365,Depression_anxiety,Counselling for anxiety
Anxiety_disorders,1808521000006110,365,Anxiety,Panic disorder without agoraphobia
Anxiety_disorders,1808521000006110,365,Depression_anxiety,Panic disorder without agoraphobia
Anxiety_disorders,1809331000006113,365,Anxiety,Symptoms of agoraphobia
Anxiety_disorders,1809331000006113,365,Depression_anxiety,Symptoms of agoraphobia
Anxiety_disorders,11920891000006112,365,Anxiety,[x]phobia nos
Anxiety_disorders,11920891000006112,365,Depression_anxiety,[x]phobia nos
Anxiety_disorders,12716981000006116,365,Anxiety,agoraphobia without mention of panic attacks
Anxiety_disorders,12716981000006116,365,Depression_anxiety,agoraphobia without mention of panic attacks
Anxiety_disorders,6025521000006113,365,Anxiety,anxiety counselling
Anxiety_disorders,6025521000006113,365,Depression_anxiety,anxiety counselling
Anxiety_disorders,853241000006119,365,Anxiety,phobic anxiety
Anxiety_disorders,853241000006119,365,Depression_anxiety,phobic anxiety
Anxiety_disorders,12731491000006112,365,Anxiety,phobic disorder nos
Anxiety_disorders,12731491000006112,365,Depression_anxiety,phobic disorder nos
Anxiety_disorders,2665410014,365,Anxiety,Fear
Anxiety_disorders,2665410014,365,Depression_anxiety,Fear
Anxiety_disorders,1488717011,365,Anxiety,C/O - panic attack
Anxiety_disorders,1488717011,365,Depression_anxiety,C/O - panic attack
Anxiety_disorders,370038014,365,Anxiety,Specific fear
Anxiety_disorders,370038014,365,Depression_anxiety,Specific fear
Anxiety_disorders,2549895012,365,Anxiety,O/E - panic attack
Anxiety_disorders,2549895012,365,Depression_anxiety,O/E - panic attack
Anxiety_disorders,2549835014,365,Anxiety,O/E - fearful mood
Anxiety_disorders,2549835014,365,Depression_anxiety,O/E - fearful mood
Anxiety_disorders,402503018,365,Anxiety,"Neurotic condition, insight present"
Anxiety_disorders,402503018,365,Depression_anxiety,"Neurotic condition, insight present"
Anxiety_disorders,402505013,365,Anxiety,Poor insight into neurotic condition
Anxiety_disorders,402505013,365,Depression_anxiety,Poor insight into neurotic condition
Anxiety_disorders,283464017,365,Anxiety,Antiphobic therapy
Anxiety_disorders,283464017,365,Depression_anxiety,Antiphobic therapy
Anxiety_disorders,342665019,365,Anxiety,Anxiety management training
Anxiety_disorders,342665019,365,Depression_anxiety,Anxiety management training
Anxiety_disorders,300681000000118,365,Anxiety,Referral for guided self-help for anxiety
Anxiety_disorders,300681000000118,365,Depression_anxiety,Referral for guided self-help for anxiety
Anxiety_disorders,285365017,365,Anxiety,Encounter for fear
Anxiety_disorders,285365017,365,Depression_anxiety,Encounter for fear
Anxiety_disorders,675881000006115,365,Anxiety,Neurotic disorders
Anxiety_disorders,675881000006115,365,Depression_anxiety,Neurotic disorders
Anxiety_disorders,488201000006114,365,Anxiety,Anxiety states
Anxiety_disorders,488201000006114,365,Depression_anxiety,Anxiety states
Anxiety_disorders,294953016,365,Anxiety,Anxiety state unspecified
Anxiety_disorders,294953016,365,Depression_anxiety,Anxiety state unspecified
Anxiety_disorders,1210253015,365,Anxiety,Panic disorder
Anxiety_disorders,1210253015,365,Depression_anxiety,Panic disorder
Anxiety_disorders,339044013,365,Anxiety,Panic attack
Anxiety_disorders,339044013,365,Depression_anxiety,Panic attack
Anxiety_disorders,481154010,365,Anxiety,Generalised anxiety disorder
Anxiety_disorders,481154010,365,Depression_anxiety,Generalised anxiety disorder
Anxiety_disorders,488211000006112,365,Anxiety,Anxiety with depression
Anxiety_disorders,488211000006112,365,Depression_anxiety,Anxiety with depression
Anxiety_disorders,294960010,365,Anxiety,Chronic anxiety
Anxiety_disorders,294960010,365,Depression_anxiety,Chronic anxiety
Anxiety_disorders,294961014,365,Anxiety,Recurrent anxiety
Anxiety_disorders,294961014,365,Depression_anxiety,Recurrent anxiety
Anxiety_disorders,294963012,365,Anxiety,Anxiety state NOS
Anxiety_disorders,294963012,365,Depression_anxiety,Anxiety state NOS
Anxiety_disorders,56251019,365,Anxiety,Compensation neurosis
Anxiety_disorders,56251019,365,Depression_anxiety,Compensation neurosis
Anxiety_disorders,223631000000113,365,Anxiety,Phobic disorders
Anxiety_disorders,223631000000113,365,Depression_anxiety,Phobic disorders
Anxiety_disorders,138401000006119,365,Anxiety,Social phobic disorders
Anxiety_disorders,138401000006119,365,Depression_anxiety,Social phobic disorders
Anxiety_disorders,223641000000116,365,Anxiety,Phobic anxiety
Anxiety_disorders,223641000000116,365,Depression_anxiety,Phobic anxiety
Anxiety_disorders,294991016,365,Anxiety,Phobia unspecified
Anxiety_disorders,294991016,365,Depression_anxiety,Phobia unspecified
Anxiety_disorders,294992011,365,Anxiety,Agoraphobia with panic attacks
Anxiety_disorders,294992011,365,Depression_anxiety,Agoraphobia with panic attacks
Anxiety_disorders,294993018,365,Anxiety,Agoraphobia without mention of panic attacks
Anxiety_disorders,294993018,365,Depression_anxiety,Agoraphobia without mention of panic attacks
Anxiety_disorders,294994012,365,Anxiety,"Social phobia, fear of eating in public"
Anxiety_disorders,294994012,365,Depression_anxiety,"Social phobia, fear of eating in public"
Anxiety_disorders,294995013,365,Anxiety,"Social phobia, fear of public speaking"
Anxiety_disorders,294995013,365,Depression_anxiety,"Social phobia, fear of public speaking"
Anxiety_disorders,294996014,365,Anxiety,"Social phobia, fear of public washing"
Anxiety_disorders,294996014,365,Depression_anxiety,"Social phobia, fear of public washing"
Anxiety_disorders,97986013,365,Anxiety,Acrophobia
Anxiety_disorders,97986013,365,Depression_anxiety,Acrophobia
Anxiety_disorders,1231321013,365,Anxiety,Animal phobia
Anxiety_disorders,1231321013,365,Depression_anxiety,Animal phobia
Anxiety_disorders,33475016,365,Anxiety,Claustrophobia
Anxiety_disorders,33475016,365,Depression_anxiety,Claustrophobia
Anxiety_disorders,294998010,365,Anxiety,Fear of crowds
Anxiety_disorders,294998010,365,Depression_anxiety,Fear of crowds
Anxiety_disorders,370048011,365,Anxiety,Fear of flying
Anxiety_disorders,370048011,365,Depression_anxiety,Fear of flying
Anxiety_disorders,485870016,365,Anxiety,Cancer phobia
Anxiety_disorders,485870016,365,Depression_anxiety,Cancer phobia
Anxiety_disorders,65032014,365,Anxiety,Dental phobia
Anxiety_disorders,65032014,365,Depression_anxiety,Dental phobia
Anxiety_disorders,166341019,365,Anxiety,Fear of death
Anxiety_disorders,166341019,365,Depression_anxiety,Fear of death
Anxiety_disorders,295004011,365,Anxiety,Fear of pregnancy
Anxiety_disorders,295004011,365,Depression_anxiety,Fear of pregnancy
Anxiety_disorders,401780016,365,Anxiety,Phobic disorder NOS
Anxiety_disorders,401780016,365,Depression_anxiety,Phobic disorder NOS
Anxiety_disorders,295026012,365,Anxiety,Other neurotic disorders
Anxiety_disorders,295026012,365,Depression_anxiety,Other neurotic disorders
Anxiety_disorders,295029017,365,Anxiety,Writer's cramp neurosis
Anxiety_disorders,295029017,365,Depression_anxiety,Writer's cramp neurosis
Anxiety_disorders,295031014,365,Anxiety,Other occupational neurosis
Anxiety_disorders,295031014,365,Depression_anxiety,Other occupational neurosis
Anxiety_disorders,295032019,365,Anxiety,Psychasthenic neurosis
Anxiety_disorders,295032019,365,Depression_anxiety,Psychasthenic neurosis
Anxiety_disorders,295033012,365,Anxiety,Other neurotic disorder NOS
Anxiety_disorders,295033012,365,Depression_anxiety,Other neurotic disorder NOS
Anxiety_disorders,401783019,365,Anxiety,Neurotic disorder NOS
Anxiety_disorders,401783019,365,Depression_anxiety,Neurotic disorder NOS
Anxiety_disorders,376741000006119,365,Anxiety,[X]Depressive neurosis
Anxiety_disorders,376741000006119,365,Depression_anxiety,[X]Depressive neurosis
Anxiety_disorders,399961000006118,365,Anxiety,[X]Neurotic depression
Anxiety_disorders,399961000006118,365,Depression_anxiety,[X]Neurotic depression
Anxiety_disorders,419841000006116,365,Anxiety,[X]Persistant anxiety depression
Anxiety_disorders,419841000006116,365,Depression_anxiety,[X]Persistant anxiety depression
Anxiety_disorders,296224013,365,Anxiety,[X]Phobic anxiety disorders
Anxiety_disorders,296224013,365,Depression_anxiety,[X]Phobic anxiety disorders
Anxiety_disorders,362871000006111,365,Anxiety,[X]Agoraphobia
Anxiety_disorders,362871000006111,365,Depression_anxiety,[X]Agoraphobia
Anxiety_disorders,418051000006118,365,Anxiety,[X]Panic disorder with agoraphobia
Anxiety_disorders,418051000006118,365,Depression_anxiety,[X]Panic disorder with agoraphobia
Anxiety_disorders,427071000006115,365,Anxiety,[X]Social phobias
Anxiety_disorders,427071000006115,365,Depression_anxiety,[X]Social phobias
Anxiety_disorders,427061000006110,365,Anxiety,[X]Social neurosis
Anxiety_disorders,427061000006110,365,Depression_anxiety,[X]Social neurosis
Anxiety_disorders,427231000006111,365,Anxiety,[X]Specific (isolated) phobias
Anxiety_disorders,427231000006111,365,Depression_anxiety,[X]Specific (isolated) phobias
Anxiety_disorders,362181000006117,365,Anxiety,[X]Acrophobia
Anxiety_disorders,362181000006117,365,Depression_anxiety,[X]Acrophobia
Anxiety_disorders,363281000006117,365,Anxiety,[X]Animal phobias
Anxiety_disorders,363281000006117,365,Depression_anxiety,[X]Animal phobias
Anxiety_disorders,371071000006117,365,Anxiety,[X]Claustrophobia
Anxiety_disorders,371071000006117,365,Depression_anxiety,[X]Claustrophobia
Anxiety_disorders,426871000006113,365,Anxiety,[X]Simple phobia
Anxiety_disorders,426871000006113,365,Depression_anxiety,[X]Simple phobia
Anxiety_disorders,980191000006111,365,Anxiety,[X]Needle phobia
Anxiety_disorders,980191000006111,365,Depression_anxiety,[X]Needle phobia
Anxiety_disorders,296236019,365,Anxiety,[X]Other phobic anxiety disorders
Anxiety_disorders,296236019,365,Depression_anxiety,[X]Other phobic anxiety disorders
Anxiety_disorders,296237011,365,Anxiety,"[X]Phobic anxiety disorder, unspecified"
Anxiety_disorders,296237011,365,Depression_anxiety,"[X]Phobic anxiety disorder, unspecified"
Anxiety_disorders,420631000006114,365,Anxiety,[X]Phobia NOS
Anxiety_disorders,420631000006114,365,Depression_anxiety,[X]Phobia NOS
Anxiety_disorders,420671000006112,365,Anxiety,[X]Phobic state NOS
Anxiety_disorders,420671000006112,365,Depression_anxiety,[X]Phobic state NOS
Anxiety_disorders,296238018,365,Anxiety,[X]Other anxiety disorders
Anxiety_disorders,296238018,365,Depression_anxiety,[X]Other anxiety disorders
Anxiety_disorders,296239014,365,Anxiety,[X]Panic disorder [episodic paroxysmal anxiety]
Anxiety_disorders,296239014,365,Depression_anxiety,[X]Panic disorder [episodic paroxysmal anxiety]
Anxiety_disorders,418031000006113,365,Anxiety,[X]Panic attack
Anxiety_disorders,418031000006113,365,Depression_anxiety,[X]Panic attack
Anxiety_disorders,418061000006116,365,Anxiety,[X]Panic state
Anxiety_disorders,418061000006116,365,Depression_anxiety,[X]Panic state
Anxiety_disorders,388071000006116,365,Anxiety,[X]Generalized anxiety disorder
Anxiety_disorders,388071000006116,365,Depression_anxiety,[X]Generalized anxiety disorder
Anxiety_disorders,363651000006111,365,Anxiety,[X]Anxiety neurosis
Anxiety_disorders,363651000006111,365,Depression_anxiety,[X]Anxiety neurosis
Anxiety_disorders,363671000006118,365,Anxiety,[X]Anxiety reaction
Anxiety_disorders,363671000006118,365,Depression_anxiety,[X]Anxiety reaction
Anxiety_disorders,363681000006115,365,Anxiety,[X]Anxiety state
Anxiety_disorders,363681000006115,365,Depression_anxiety,[X]Anxiety state
Anxiety_disorders,398561000006117,365,Anxiety,[X]Mixed anxiety and depressive disorder
Anxiety_disorders,398561000006117,365,Depression_anxiety,[X]Mixed anxiety and depressive disorder
Anxiety_disorders,398351000006110,365,Anxiety,[X]Mild anxiety depression
Anxiety_disorders,398351000006110,365,Depression_anxiety,[X]Mild anxiety depression
Anxiety_disorders,296245018,365,Anxiety,[X]Other mixed anxiety disorders
Anxiety_disorders,296245018,365,Depression_anxiety,[X]Other mixed anxiety disorders
Anxiety_disorders,401881014,365,Anxiety,[X]Other specified anxiety disorders
Anxiety_disorders,401881014,365,Depression_anxiety,[X]Other specified anxiety disorders
Anxiety_disorders,363641000006114,365,Anxiety,[X]Anxiety hysteria
Anxiety_disorders,363641000006114,365,Depression_anxiety,[X]Anxiety hysteria
Anxiety_disorders,296249012,365,Anxiety,"[X]Anxiety disorder, unspecified"
Anxiety_disorders,296249012,365,Depression_anxiety,"[X]Anxiety disorder, unspecified"
Anxiety_disorders,363661000006113,365,Anxiety,[X]Anxiety NOS
Anxiety_disorders,363661000006113,365,Depression_anxiety,[X]Anxiety NOS
Asthma,2010031000006116,365,Asthma,Acute infective exacerbation of asthma
Asthma,2010041000006114,365,Asthma,Acute non-infective exacerbation of asthma
Asthma,1012731000006119,365,Asthma,Adverse reaction to Drugs For Prophylaxis Of Asthma
Asthma,1877351000006118,365,Asthma,Asthma clinical management plan no longer in place
Asthma,856051000006115,365,Asthma,Asthma control unsatisfactory
Asthma,1855521000006111,365,Asthma,Asthma monitoring in primary care
Asthma,1855531000006114,365,Asthma,Asthma monitoring in secondary care
Asthma,856031000006110,365,Asthma,Asthma stable < 3 months
Asthma,856041000006117,365,Asthma,Asthma stable > 3 months
Asthma,2131281000000114,365,Asthma,Asthma trigger - perfume
Asthma,6720721000006111,365,Asthma,Asthmatic bronchitis
Asthma,1859261000006117,365,Asthma,Date of asthma diagnosis
Asthma,885291000006115,365,Asthma,Extrinsic asthma - atopy
Asthma,1856351000006118,365,Asthma,Follow-up asthma assessment
Asthma,1880001000006114,365,Asthma,No change in asthma management plan
Asthma,1769451000000116,365,Asthma,Seen in school asthma clinic
Asthma,905331000006118,365,Asthma,[RFC] Asthma
Asthma,908841000006111,365,Asthma,[RFC] Asthma
Asthma,7627241000006119,365,Asthma,acute exacerbation of asthma
Asthma,3005811000006119,365,Asthma,exercise induced asthma
Asthma,5054341000006110,365,Asthma,late-onset asthma
Asthma,955631000006116,365,Asthma,occupational asthma
Asthma,11903851000006116,365,Asthma,severe asthma attack
Asthma,655601000006113,365,Asthma,Exercise induced asthma
Asthma,95786019,365,Asthma,Occupational asthma
Asthma,983771000006118,365,Asthma,Work aggravated asthma
Asthma,929091000006111,365,Asthma,Aspirin induced asthma
Asthma,1780388018,365,Asthma,Asthma confirmed
